path	chosen_source	latest_ts_KST	bytes	confidence	notes
# RECOVERY MANIFEST — Human CRPC scRNAseq scripts/, accidental deletion 2026-07-08.
# Git HEAD = 2026-06-26 21:10 KST (560c0bd). ~12 days of later work survived only in editor/agent caches.
# 'Final working-tree set' = the 2026-07-03 `ls scripts/` output (last substantive session before the 07-08 deletion): 28 script files.
# Sources: vscode=VSCode local-history snapshot | filehist=Claude Code file-history blob (sha256(path)[:16]@vN) | claude_read/claude_write=Claude transcript tool I/O | codex=codex apply_patch reconstruction.
# confidence: full=verbatim full-content snapshot | patched=full base + newest patch(es) applied (all hunks matched OK) | skipped-git=git HEAD already holds newest (evidence <= 06-26) | excluded=intentionally purged | removed-pre-deletion=existed in caches but NOT in the 07-03 tree | mention-only=referenced but no recoverable content.
# All recovered files sanity-checked: .py py_compile OK, .sh bash -n OK, no truncation / cat-n / patch-marker artifacts, plausible start+end.
# ==== RECOVERED / FINAL WORKING-TREE SET (present at 2026-07-03 ls; recovered = 21 files; the 7 skipped-git restore from git) ====
scripts/00_utils/scRNA_utils.R	claude_read	2026-07-02T11:21:21.924000+09:00	8145	full	0b3ff103-1f7a-4adb-b876-3d4165d25d2a.jsonl
scripts/01_Integrated/Integrated_Analysis.R	git HEAD (2026-06-26)	2026-06-26T21:10:17+09:00	11927	skipped-git	git already has latest (post-seed 06-26); staging copy set to git HEAD (prior VSCode dump here was OLDER/pre-set.seed). Restore from git.
scripts/02_Epithelial_Initial/Epithelial_Analysis.R	filehist (<=06-26)	2026-06-24T15:30:07.872371+09:00	-	skipped-git	newest evidence <= git commit; git already has latest
scripts/03_Epithelial_FilterDecision/Epithelial_FilterDecision.R	claude_read (<=06-26)	2026-06-25T13:35:51.881000+09:00	-	skipped-git	newest evidence <= git commit; git already has latest
scripts/04_Epithelial_Filtered/Epithelial_FilteredAnalysis.R	vscode	2026-06-30T04:11:25.486000+09:00	10207	full	xdU8.R
scripts/05_Epithelial_Downstream/Epithelial_ARPC_vs_each_MSigDB_pseudobulk_GSEA.R	filehist	2026-07-02T12:43:47.814633+09:00	17419	patched	cedit@13:13:51:ok;cedit@13:13:59:ok
scripts/05_Epithelial_Downstream/Epithelial_Annotation.R	claude_read	2026-07-02T14:48:52.577000+09:00	3489	full	5a54d992-4c3c-41a8-8b77-5e3599454a58.jsonl
scripts/05_Epithelial_Downstream/Epithelial_Bluemn2017_pseudobulk_GSEA.R	claude_read	2026-07-02T11:20:44.530000+09:00	18114	full	0b3ff103-1f7a-4adb-b876-3d4165d25d2a.jsonl
scripts/05_Epithelial_Downstream/Epithelial_Bluemn2017_ssGSEA.R	claude_read (<=06-26)	2026-06-02T23:28:48.744000+09:00	-	skipped-git	newest evidence <= git commit; git already has latest
scripts/05_Epithelial_Downstream/Epithelial_ClusterMarkers.R	filehist	2026-07-02T14:53:22.590770+09:00	4181	full	321b3557deb5738e@v1
scripts/05_Epithelial_Downstream/Epithelial_InferCNV.R	codex	2026-07-02T14:07:30.516000+09:00	9232	full	Add+1upd rollout-2026-07-02T13-30-52-01
scripts/05_Epithelial_Downstream/Epithelial_Ionocyte_FeaturePlot.R	claude_read	2026-07-02T14:48:53.133000+09:00	2386	full	5a54d992-4c3c-41a8-8b77-5e3599454a58.jsonl
scripts/05_Epithelial_Downstream/Epithelial_Kim2024_AR_HGF_Wnt_pseudobulk_GSEA.R	claude_read	2026-07-02T11:20:45.345000+09:00	18902	full	0b3ff103-1f7a-4adb-b876-3d4165d25d2a.jsonl
scripts/05_Epithelial_Downstream/Epithelial_Kim2024_AR_HGF_Wnt_ssGSEA.R	git(<=06-26)	(git HEAD)	-	skipped-git	no post-06-26 evidence; git already has latest
scripts/05_Epithelial_Downstream/Epithelial_NotableGenes_FeaturePlot.R	claude_read	2026-07-02T14:48:52.051000+09:00	5786	full	5a54d992-4c3c-41a8-8b77-5e3599454a58.jsonl
scripts/05_Epithelial_Downstream/Epithelial_Song2022_CellSignature_Scoring.R	vscode	2026-07-01T15:02:37.945000+09:00	15432	full	vBU4.R
scripts/05_Epithelial_Downstream/Epithelial_Song2022_PaperPCa_ModuleScore.R	claude_read	2026-06-30T07:31:56.775000+09:00	5642	full	afdec29c-f57e-4f6d-887a-139a29adc76d.jsonl
scripts/05_Epithelial_Downstream/SCENIC_00_export_loom.R	git_head+codex	2026-06-30T05:34:48.089000+09:00	1737	patched	base=gitHEAD;cupd@05:34:48:ok
scripts/05_Epithelial_Downstream/SCENIC_00b_subsample_grn5k.py	filehist (<=06-26)	2026-06-26T02:46:34.620434+09:00	-	skipped-git	newest evidence <= git commit; git already has latest
scripts/05_Epithelial_Downstream/SCENIC_01_pyscenic.sh	git(<=06-26)	(git HEAD)	-	skipped-git	no post-06-26 evidence; git already has latest
scripts/05_Epithelial_Downstream/SCENIC_02_postprocess.R	claude_read	2026-07-02T14:50:39.844000+09:00	4057	full	5a54d992-4c3c-41a8-8b77-5e3599454a58.jsonl
scripts/06_QC_Artifact_Diagnostics/01_Dissociation_Stress_Score.R	filehist	2026-06-29T20:43:51.892783+09:00	8040	full	f980da5b5d941480@v6
scripts/06_QC_Artifact_Diagnostics/02b_RegressOut_Denisenko17_BaselineControl.R	filehist	2026-06-30T02:27:08.013410+09:00	10667	patched	cupd@02:50:07:ok;cupd@03:05:39:ok
scripts/06_QC_Artifact_Diagnostics/02c_format_regression_confusion_matrix.py	codex	2026-06-30T03:06:18.299000+09:00	6014	full	Add+0upd rollout-2026-06-30T02-41-15-01
scripts/07_RNA_Velocity/00_export_seurat_velocity_inputs.R	codex	2026-07-01T15:29:25.824000+09:00	2791	full	Add+0upd rollout-2026-07-01T15-22-32-01
scripts/07_RNA_Velocity/01_make_velocity_looms.sh	codex	2026-07-01T16:02:10.188000+09:00	3024	full	Add+2upd rollout-2026-07-01T15-22-32-01
scripts/07_RNA_Velocity/02_scvelo_trajectory.py	claude_read	2026-07-02T14:50:40.211000+09:00	14025	full	5a54d992-4c3c-41a8-8b77-5e3599454a58.jsonl
scripts/07_RNA_Velocity/README.md	codex	2026-07-01T23:45:54.508000+09:00	2516	full	Add+3upd rollout-2026-07-01T15-22-32-01
# ==== EXCLUDED (intentionally purged earlier; do NOT resurrect) ====
scripts/05_Epithelial_Downstream/Epithelial_copyKAT_perpatient.R	-	-	-	excluded	copyKAT — intentionally purged; no post-06-26 activity
scripts/05_Epithelial_Downstream/Numbat_Immref_pipeline.R	-	-	-	excluded	Numbat — last codex activity 2026-05-17 (pre-window); purged
scripts/05_Epithelial_Downstream/Numbat_OE4ref_pipeline.R	-	-	-	excluded	Numbat — last codex activity 2026-05-17 (pre-window); purged
scripts/05_Epithelial_Downstream/NicheNet_DNPC_pipeline.R	-	-	-	excluded	NicheNet — intentionally purged; no post-06-26 activity
scripts/05_Epithelial_Downstream/Epithelial_Monocle3_pseudotime_on_integratedUMAP.R	-	-	-	excluded	Monocle3-on-integratedUMAP — purged; no post-06-26 activity
scripts/05_Epithelial_Downstream/Epithelial_InferCNV.R	-	-	-	excluded	(name was on exclude list but per coordinator correction it is a RECENT re-intro -> RECOVERED, see row above)
# ==== REMOVED / SUPERSEDED BEFORE 07-08 (seen in caches but absent from final 07-03 tree; NOT recovered) ====
scripts/05_Epithelial_Downstream/Epithelial_PROGENy_pseudobulk_activity.R	cache last-seen; git-tracked	2026-06-30T05:42:36.246000+09:00	-	removed-pre-deletion	NOT in 2026-07-03 working tree (renamed/consolidated/migrated during 06-29..07-02 refactor); not part of the 07-08 deletion
scripts/05_Epithelial_Downstream/Epithelial_Pseudobulk_ssGSEA.R	cache last-seen; git-tracked	2026-06-30T05:42:50.666000+09:00	-	removed-pre-deletion	NOT in 2026-07-03 working tree (renamed/consolidated/migrated during 06-29..07-02 refactor); not part of the 07-08 deletion
scripts/05_Epithelial_Downstream/Epithelial_PublishedDNPC_Programs_Reproduction.R	cache last-seen; git-tracked	2026-06-25T10:50:48.114000+09:00	-	removed-pre-deletion	NOT in 2026-07-03 working tree (renamed/consolidated/migrated during 06-29..07-02 refactor); not part of the 07-08 deletion
scripts/05_Epithelial_Downstream/Epithelial_TumorSpecific_nonAR_Markers.R	cache last-seen; git-tracked	-	-	removed-pre-deletion	NOT in 2026-07-03 working tree (renamed/consolidated/migrated during 06-29..07-02 refactor); not part of the 07-08 deletion
scripts/05_Epithelial_Downstream/_dnpc_evidence_probe.R	cache last-seen; git-tracked	2026-06-21T06:36:16.364083+09:00	-	removed-pre-deletion	NOT in 2026-07-03 working tree (renamed/consolidated/migrated during 06-29..07-02 refactor); not part of the 07-08 deletion
scripts/05_Epithelial_Downstream/scVelo_00_export_seurat.R	cache last-seen; git-tracked	2026-06-26T14:22:26.327000+09:00	-	removed-pre-deletion	NOT in 2026-07-03 working tree (renamed/consolidated/migrated during 06-29..07-02 refactor); not part of the 07-08 deletion
scripts/05_Epithelial_Downstream/scVelo_01_velocyto.sh	cache last-seen; git-tracked	-	-	removed-pre-deletion	NOT in 2026-07-03 working tree (renamed/consolidated/migrated during 06-29..07-02 refactor); not part of the 07-08 deletion
scripts/05_Epithelial_Downstream/scVelo_02_scvelo.py	cache last-seen; git-tracked	2026-06-30T07:07:50.514000+09:00	-	removed-pre-deletion	NOT in 2026-07-03 working tree (renamed/consolidated/migrated during 06-29..07-02 refactor); not part of the 07-08 deletion
scripts/05_Epithelial_Downstream/scVelo_03_velocity_diagnostics.py	cache last-seen; untracked/new	2026-06-30T07:07:40.795000+09:00	-	removed-pre-deletion	NOT in 2026-07-03 working tree (renamed/consolidated/migrated during 06-29..07-02 refactor); not part of the 07-08 deletion
scripts/06_QC_Artifact_Diagnostics/02_OE2_RegressOut_Curated45.R	cache last-seen; untracked/new	2026-06-29T22:27:11.927000+09:00	-	removed-pre-deletion	NOT in 2026-07-03 working tree (renamed/consolidated/migrated during 06-29..07-02 refactor); not part of the 07-08 deletion
